opponent,board,timer [s],game1 (F),game2 (S),game3 (F),game4 (S),game5 (F),game6 (S),game7 (F),game8 (S),game9 (F),game10 (S),
random player,random3x3,0.5,1,1,1,1,1,1,1,1,1,1,
random player,random3x3,1,1,1,1,1,1,1,1,1,1,1,
random player,random3x3,5,1,1,1,1,1,1,1,1,1,1,
greedy player,random3x3,0.5,-1,1,-1,-1,1,1,1,-1,1,-1,
greedy player,random3x3,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,
greedy player,random3x3,5,1,1,-1,1,-1,-1,1,1,1,-1,
random player,empty3x3,0.5,1,-1,-1,1,-1,-1,-1,1,-1,-1,
random player,empty3x3,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,
random player,empty3x3,5,1,-1,1,-1,1,1,-1,1,1,-1,
greedy player,empty3x3,0.5,-1,-1,-1,-1,-1,1,1,-1,-1,-1,
greedy player,empty3x3,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,
greedy player,empty3x3,5,1,1,1,1,1,-1,1,-1,1,1,
